Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
34,0.0,0.12525,0.046817314,3.5857003,3.6325176,0.0,0.0,0.21421877,0.0,5689.914941310883,3.2055535,0.0051012742,780000,0.15,0.0,780000.0,0.6158087,0.6932295,0.5,0.98008204,487.5015,-34.861336,-35.382072,-0.17622574,-0.14701836,-0.69314724,49.8755,680000.0,-34.861336,-35.069115,-33.60909,-33.49209,-34.06048,-34.293762,-35.069115,-34.862568,0.78,1560.0,-0.4853037
35,0.0,0.1169,0.05094042,3.651627,3.7025676,0.0,0.0,0.21416345,0.0,5852.086139917374,3.1892614,0.0050753616,800000,0.125,0.0,800000.0,0.6157041,0.6931267,0.5,0.98009443,21.049675,-35.639233,-36.15029,-0.18795834,-0.14760411,-0.69314724,49.899017,700000.0,-35.639233,-35.861122,-34.381195,-34.263187,-34.827908,-35.062214,-35.861122,-35.64022,0.8,1600.0,-0.48546642
36,0.0,0.04675,0.051238757,3.6935403,3.7447789,0.0,0.0,0.21419607,0.0,6014.6103575229645,3.2131996,0.005118878,820000,0.05,0.0,820000.0,0.6155502,0.6929674,0.5,0.9800764,1.0436199,-36.066284,-36.528706,-0.1835973,-0.15534472,-0.69314724,49.86543,720000.0,-36.066284,-36.294556,-34.8539,-34.73728,-35.289936,-35.519855,-36.294556,-36.06704,0.82,1640.0,-0.48571837
37,0.0,0.191,0.05211037,3.6985042,3.750615,0.0,0.0,0.21421772,0.0,6177.826657295227,3.2210243,0.005136864,840000,0.25,0.0,840000.0,0.6157912,0.69321126,0.5,0.980092,194.97533,-35.816162,-36.21774,-0.17780383,-0.16405956,-0.69314724,49.893467,740000.0,-35.816162,-36.03696,-34.64494,-34.53062,-35.067474,-35.293373,-36.03696,-35.81674,0.84,1680.0,-0.4853326
38,0.0,0.0599,0.047891814,3.6246562,3.672548,0.0,0.0,0.21422024,0.0,6340.30764746666,3.2073624,0.005116199,860000,0.075,0.0,860000.0,0.615745,0.69316006,0.5,0.9800915,2.277893,-35.29574,-35.65123,-0.16165945,-0.17136993,-0.69314724,49.896214,760000.0,-35.29574,-35.50408,-34.186283,-34.075924,-34.59973,-34.818863,-35.50408,-35.296253,0.86,1720.0,-0.48541367
39,0.0,0.0624,0.043013234,3.4573085,3.5003219,0.0,0.0,0.21421792,0.0,6502.163831233978,3.1964278,0.005099065,880000,0.075,0.0,880000.0,0.61589456,0.6933155,0.5,0.980118,1.128668,-34.544567,-34.871334,-0.1484933,-0.17386758,-0.69314724,49.962414,780000.0,-34.544567,-34.73785,-33.490402,-33.38358,-33.89713,-34.110405,-34.73785,-34.545025,0.88,1760.0,-0.48516777
40,0.0,0.0322,0.04280622,3.3695507,3.4123573,0.0,0.0,0.21420799,0.0,6664.801440238953,3.20983,0.0051222397,900000,0.05,0.0,900000.0,0.61577857,0.69319254,0.5,0.9801007,10.962249,-33.924377,-34.207897,-0.14355186,-0.17977813,-0.69314724,49.92133,800000.0,-33.924377,-34.104935,-32.892178,-32.787067,-33.302277,-33.511612,-34.104935,-33.924767,0.9,1800.0,-0.4853623
41,0.0,0.0215,0.03749357,3.3148367,3.3523304,0.0,0.0,0.214222,0.0,6827.328015804291,3.2167916,0.005134283,920000,0.025,0.0,920000.0,0.61583054,0.6932524,0.5,0.98006535,1.2699046,-33.15599,-33.42733,-0.12507904,-0.17921191,-0.69314724,49.83105,820000.0,-33.15599,-33.320507,-32.161144,-32.059013,-32.57154,-32.77304,-33.320507,-33.15639,0.92,1840.0,-0.48526758
42,0.0,0.04045,0.03666796,3.310191,3.346859,0.0,0.0,0.21424165,0.0,6989.363831758499,3.1930325,0.0050947433,940000,0.075,0.0,940000.0,0.61580217,0.6932224,0.5,0.9800732,1.1053421,-32.480045,-32.760025,-0.12651567,-0.17638086,-0.69314724,49.845516,840000.0,-32.480045,-32.62919,-31.47808,-31.37585,-31.890762,-32.09162,-32.62919,-32.480556,0.94,1880.0,-0.48531502
43,0.0,0.02155,0.03883321,3.3468218,3.3856554,0.0,0.0,0.2141809,0.0,7150.882942676544,3.1856837,0.0050839162,960000,0.025,0.0,960000.0,0.6157883,0.6932037,0.5,0.98010254,1.0381709,-32.164497,-32.466045,-0.13274725,-0.17091426,-0.69314724,49.92859,860000.0,-32.164497,-32.307793,-31.120628,-31.017225,-31.533731,-31.737103,-32.307793,-32.16502,0.96,1920.0,-0.48534453
44,0.0,0.13105,0.03952094,3.406904,3.4464247,0.0,0.0,0.2142189,0.0,7312.763675689697,3.194202,0.005097055,980000,0.2,0.0,980000.0,0.6158132,0.69322854,0.5,0.98006964,1.2657897,-31.920235,-32.241417,-0.13519275,-0.16747226,-0.69314724,49.850452,880000.0,-31.920235,-32.058697,-30.860825,-30.756945,-31.270594,-31.474703,-32.058697,-31.920773,0.98,1960.0,-0.48530528
45,0.0,0.0345,0.041173518,3.4677875,3.508961,0.0,0.0,0.21421866,0.0,7474.977209329605,3.205,0.0051157917,1000000,0.05,0.0,1000000.0,0.6157635,0.6931841,0.5,0.9801096,1.0533003,-31.741972,-32.07659,-0.1356457,-0.1648869,-0.69314724,49.945232,900000.0,-31.741972,-31.877756,-30.663397,-30.558681,-31.067493,-31.273766,-31.877756,-31.742538,1.0,2000.0,-0.48537558
